Proposta;Número da Requisição;Aplicação;Classe do Material;Código do produto;Descrição Curta do Produto;Descrição Adicional;Quantidade requisitada;Data necessária;Código do Produto do Fornecedor;Produto;Descrição Técnica;Quantidade do fornecedor;Fornecedor;Fabricante;Modelo;Razão social;CNPJ;Status de cadastro;Endereço;Nome do contato comercial;Telefones do contato comercial;E-mail do contato comercial;Dados bancários;Nome contato de faturamento;Telefones do contato de faturamento;E-mail do contato de faturamento;Data de entrega;Prazo de pagamento;Valor Orçado Unitário (R$);Preço unitário líquido (R$);Preço unitário com impostos (R$);Condição de pagamento;1a Rodada de Negociação;Motivo da analise;Aprovada por Humano
P15;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Caldeira;51.708.643/0001-25;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;56 dias;150;102.46;102.46;reajustável;Valido;Está dentro da meta de saving;Sim
P16;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Dias;78.329.506/0001-36;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;54 dias;150;101.87;101.87;reajustável;Valido;Está dentro da meta de saving;Sim
P17;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;da Rocha Duarte - ME;95.162.804/0001-01;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;63 dias;150;108.91;108.91;reajustável;Valido;Está dentro da meta de saving;Sim
P18;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Abreu - EI;46.075.913/0001-78;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;50 dias;150;109.87;109.87;reajustável;Valido;Está dentro da meta de saving;Sim
P19;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Pires;83.490.617/0001-60;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;56 dias;150;108.26;108.26;reajustável;Valido;Está dentro da meta de saving;Sim
P20;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Castro - EI;63.985.420/0001-94;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;50 dias;150;100.07;100.07;reajustável;Valido;Está dentro da meta de saving;Sim
P21;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Nunes;71.405.239/0001-90;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;50 dias;150;106.34;106.34;reajustável;Valido;Está dentro da meta de saving;Sim
P22;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Cirino;27.630.194/0001-65;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;50 dias;150;104.82;104.82;reajustável;Valido;Está dentro da meta de saving;Sim
P23;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Camargo e Filhos;35.786.129/0001-51;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;55 dias;150;100.49;100.49;reajustável;Valido;Está dentro da meta de saving;Sim
P24;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Teixeira S/A;81.953.246/0001-80;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;62 dias;150;109.18;109.18;reajustável;Valido;Está dentro da meta de saving;Sim
P25;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Pacheco Cardoso - ME;83.921.746/0001-65;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;60 dias;150;101.35;101.35;reajustável;Valido;Está dentro da meta de saving;Sim
P26;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Novaes Ltda.;54.168.739/0001-36;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;58 dias;150;100.8;100.8;reajustável;Valido;Está dentro da meta de saving;Sim
P27;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;da Paz;96.148.237/0001-93;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;50 dias;150;101.28;101.28;reajustável;Valido;Está dentro da meta de saving;Sim
